id_date,open,high,low,close,volume,id_stock,id_index
1,91.44,92.68,91.44,92.53,332104,479,1
2,92.52,92.55,92.0,92.47,224669,479,1
3,92.44,92.606,91.79,91.99,260583,479,1
4,92.36,93.33,92.1,93.22,430119,479,1
5,92.92,93.53,92.28,93.47,431272,479,1
6,93.47,93.67,92.17,92.61,448649,479,1
7,92.48,93.41,92.3501,93.36,319698,479,1
8,93.14,93.41,91.96,92.33,532540,479,1
9,92.24,92.9,91.46,91.79,443778,479,1
10,92.09,92.65,92.01,92.65,264954,479,1
11,93.0,93.04,90.41,90.42,483809,479,1
12,90.87,91.71,89.74,91.49,541440,479,1
13,91.37,93.25,91.19,92.98,438263,479,1
14,93.0,93.63,92.21,92.72,455777,479,1
15,92.32,93.82,91.56,93.77,405335,479,1
16,93.34,93.77,92.73,93.74,248774,479,1
17,94.08,95.41,94.08,94.96,412221,479,1
18,95.13,95.38,94.46,94.62,182336,479,1
19,94.73,94.98,94.17,94.26,202045,479,1
20,94.68,94.78,93.95,94.48,325134,479,1
21,94.27,94.78,93.94,94.71,262215,479,1
22,94.78,94.92,93.76,94.24,301248,479,1
23,94.23,94.6,93.625,94.24,295682,479,1
24,94.37,94.674,93.98,94.66,269235,479,1
25,94.29,94.96,94.1,94.82,448335,479,1
26,94.03,94.68,93.63,93.97,326682,479,1
27,94.21,94.51,93.47,93.99,298989,479,1
28,94.46,94.93,94.11,94.78,286150,479,1
29,94.34,94.34,93.02,93.11,302618,479,1
30,93.56,93.59,92.37,93.26,305428,479,1
31,93.4,93.5,91.59,92.55,364678,479,1
32,92.98,93.93,92.94,93.26,403940,479,1
33,92.58,93.59,92.37,93.16,378882,479,1
34,93.31,94.0,92.83,93.91,616983,479,1
35,93.85,93.855,92.99,93.7,347448,479,1
36,94.02,95.5,93.93,95.5,519696,479,1
37,95.5,95.51,93.98,94.29,373560,479,1
38,94.37,94.9,93.85,94.57,275288,479,1
39,93.21,93.21,92.26,92.39,397550,479,1
40,92.31,93.03,92.09,93.03,287639,479,1
41,93.44,93.83,92.98,93.15,239745,479,1
42,93.6,95.33,93.48,95.12,442266,479,1
43,95.29,96.25,95.29,95.46,232209,479,1
44,94.65,95.25,93.46,94.33,584410,479,1
45,93.97,94.25,91.28,91.31,584723,479,1
46,91.97,92.46,91.3,91.69,499176,479,1
47,91.11,91.35,89.26,89.85,756527,479,1
48,89.53,89.57,87.9,88.24,806181,479,1
49,88.44,88.89,87.85,88.45,588900,479,1
50,88.68,89.26,87.95,89.23,604808,479,1
51,89.45,95.52,89.23,92.1,1856794,479,1
52,92.1,92.96,91.5,92.48,501413,479,1
53,92.77,93.479,92.64,92.88,370283,479,1
54,92.43,92.62,91.45,92.3,332733,479,1
55,92.42,92.58,91.67,92.45,408095,479,1
56,92.15,92.73,91.24,92.4,824127,479,1
57,92.29,93.125,92.04,92.38,486075,479,1
58,92.8,93.52,92.59,92.63,452065,479,1
59,93.63,94.04,92.96,93.0,301611,479,1
60,92.9,93.77,92.77,93.53,460876,479,1
61,93.52,94.87,93.15,94.47,616909,479,1
62,94.35,95.819,94.26,95.8,679138,479,1
63,95.59,97.12,95.59,96.42,653422,479,1
64,96.5,97.34,96.5,96.91,619879,479,1
65,96.52,97.19,96.055,96.5,370984,479,1
66,96.5,97.77,96.3701,97.75,935622,479,1
67,97.53,98.99,97.2,98.49,528859,479,1
68,98.09,98.35,96.93,97.07,361475,479,1
69,97.5,98.38,97.09,98.0,344608,479,1
70,97.71,98.49,97.35,97.53,226719,479,1
