id_date,open,high,low,close,volume,id_stock,id_index
1,39.99,40.09,39.79,40.06,1175919,482,1
2,40.07,40.15,39.95,40.14,1166671,482,1
3,39.78,39.93,39.61,39.93,830662,482,1
4,39.95,40.08,39.69,39.84,865008,482,1
5,39.7,39.9,39.36,39.45,1573179,482,1
6,39.6,39.83,39.5,39.78,1283839,482,1
7,39.88,40.22,39.81,40.21,797565,482,1
8,40.19,40.47,40.11,40.13,731785,482,1
9,40.14,40.28,39.99,40.12,918647,482,1
10,40.19,40.43,40.19,40.37,865240,482,1
11,40.45,40.92,40.2,40.21,1491846,482,1
12,40.38,40.72,40.22,40.43,1301324,482,1
13,40.39,40.86,40.39,40.76,1136470,482,1
14,40.77,41.41,40.67,41.3,2431965,482,1
15,41.21,41.3369,40.95,41.31,1510200,482,1
16,41.2,41.74,41.17,41.74,1266385,482,1
17,41.85,41.95,41.65,41.91,1511695,482,1
18,41.9,41.9,41.4,41.53,1425059,482,1
19,41.47,41.62,41.06,41.09,1276232,482,1
20,41.16,41.435,41.01,41.39,1078752,482,1
21,41.37,41.63,41.3,41.63,799879,482,1
22,41.6,41.68,41.33,41.53,740955,482,1
23,41.5,41.66,41.39,41.48,1335523,482,1
24,41.53,41.53,41.26,41.41,1346912,482,1
25,41.22,41.51,41.18,41.37,2540843,482,1
26,41.04,41.305,40.91,41.14,1160918,482,1
27,41.2,41.31,40.79,41.09,1249506,482,1
28,41.29,41.62,41.19,41.44,1107207,482,1
29,41.35,41.56,41.25,41.36,1097038,482,1
30,41.44,41.64,40.94,41.53,1145516,482,1
31,41.67,41.78,41.195,41.34,978201,482,1
32,41.45,41.86,41.39,41.86,1038748,482,1
33,41.76,42.0,41.54,41.98,1393451,482,1
34,41.98,42.95,41.93,42.89,2719628,482,1
35,42.82,42.8675,42.37,42.56,1442663,482,1
36,42.66,42.8,42.43,42.6,887078,482,1
37,42.73,42.73,42.33,42.5,944247,482,1
38,42.55,42.7,42.41,42.65,1170173,482,1
39,42.39,42.93,42.31,42.85,723025,482,1
40,42.79,43.2,42.64,43.19,892098,482,1
41,43.26,43.2899,42.88,43.02,1005763,482,1
42,43.07,43.4,43.05,43.2,1252027,482,1
43,43.2,43.32,42.99,43.2,1344015,482,1
44,43.14,43.6,43.14,43.59,1184029,482,1
45,43.43,43.67,42.83,42.83,1323798,482,1
46,42.93,43.37,42.59,43.24,914847,482,1
47,43.13,43.22,42.52,42.8,2001143,482,1
48,42.96,43.13,42.73,42.98,1569113,482,1
49,43.1,43.62,42.97,43.61,915803,482,1
50,43.6,43.78,43.375,43.59,942359,482,1
51,43.75,43.82,43.44,43.79,1031813,482,1
52,43.89,44.19,43.66,43.99,1373779,482,1
53,44.12,44.39,43.9,44.14,777309,482,1
54,44.15,44.41,43.995,44.03,770976,482,1
55,44.05,44.65,44.0,44.46,1066749,482,1
56,44.63,45.0,44.36,44.94,2288190,482,1
57,44.78,44.84,44.22,44.34,1272769,482,1
58,44.37,44.5,44.1,44.29,1035879,482,1
59,44.66,44.75,44.39,44.53,1530735,482,1
60,44.49,44.56,43.71,43.79,1078888,482,1
61,43.82,44.22,43.77,44.21,1582559,482,1
62,44.13,44.38,43.65,43.83,1288029,482,1
63,43.86,43.91,42.68,43.13,1421909,482,1
64,42.97,43.15,42.64,43.12,1455596,482,1
65,42.93,43.0,42.67,42.75,1045204,482,1
66,42.72,43.2025,42.71,43.05,1155406,482,1
67,43.02,43.75,42.95,43.55,828818,482,1
68,43.46,43.55,43.175,43.25,1233218,482,1
69,43.4,43.72,43.32,43.7,1283943,482,1
70,43.33,43.71,43.08,43.26,1668396,482,1
71,43.28,43.56,43.1,43.5,1411037,482,1
72,43.44,43.92,42.64,42.85,1334262,482,1
73,42.54,42.56,41.72,42.41,1645502,482,1
74,42.3,42.388,41.84,41.98,993252,482,1
75,42.21,42.34,41.56,41.94,1460918,482,1
76,41.7,41.705,40.555,40.89,1918369,482,1
77,41.07,41.935,40.97,41.05,1540024,482,1
78,40.92,41.56,40.81,40.81,1848512,482,1
79,40.94,41.15,40.33,41.04,1665694,482,1
80,41.04,41.12,40.52,40.82,1306869,482,1
81,40.69,40.69,40.27,40.38,994602,482,1
82,40.38,40.96,40.37,40.96,960877,482,1
83,41.0,41.43,40.8,41.26,837179,482,1
