id_date,open,high,low,close,volume,id_stock,id_index
1,71.2,71.64,71.07,71.48,5906823,488,1
2,71.25,71.51,70.53,71.4,6202534,488,1
3,71.49,71.66,71.1,71.4,4761910,488,1
4,71.29,71.7,71.21,71.39,3969807,488,1
5,71.1,71.23,70.755,70.82,6820952,488,1
6,69.54,70.0,68.13,69.3,25687156,488,1
7,69.19,69.45,68.54,68.76,14683322,488,1
8,68.72,69.85,68.3,69.21,11973720,488,1
9,70.0,71.47,69.72,70.26,20425983,488,1
10,70.22,70.54,69.89,70.4,9169060,488,1
11,70.5,71.34,70.44,70.44,11819590,488,1
12,70.69,71.39,70.61,71.11,10558487,488,1
13,70.92,71.955,70.58,71.66,8820257,488,1
14,71.59,71.88,70.78,70.78,18874853,488,1
15,70.78,71.9,70.78,71.74,8902516,488,1
16,71.52,73.26,71.51,73.26,10567354,488,1
17,73.47,74.04,72.99,73.72,9093856,488,1
18,73.75,74.13,73.2515,73.38,7152681,488,1
19,73.4899,73.61,73.2,73.32,6689031,488,1
20,73.3,73.39,72.84,73.03,5744563,488,1
21,73.09,73.24,72.81,72.98,5149550,488,1
22,72.95,73.9,72.84,73.6,8156286,488,1
23,73.89,74.2,73.54,73.65,5326032,488,1
24,73.87,74.0,73.13,73.22,6353199,488,1
25,73.01,73.5,72.435,72.5,17206161,488,1
26,72.29,72.73,72.01,72.25,5771090,488,1
27,72.42,72.87,72.19,72.45,5751083,488,1
28,72.81,73.375,72.74,72.99,6309979,488,1
29,72.87,73.47,72.85,73.13,5494804,488,1
30,73.35,74.29,73.29,74.28,7246230,488,1
31,74.14,75.11,74.12,74.85,10438663,488,1
32,74.93,75.09,74.43,74.77,6642358,488,1
33,74.31,74.965,74.24,74.78,5970553,488,1
34,74.84,74.97,74.38,74.83,7341433,488,1
35,75.0,75.93,74.9,75.43,8416097,488,1
36,75.55,76.05,75.42,76.02,6642176,488,1
37,76.31,76.68,75.72,76.0,7453922,488,1
38,76.03,76.58,75.96,76.2,7508315,488,1
39,75.55,76.41,75.4325,76.39,5861325,488,1
40,76.1,77.445,75.83,77.29,8075057,488,1
41,77.24,78.46,77.02,78.12,8652436,488,1
42,78.28,78.38,77.37,77.37,8598933,488,1
43,77.36,78.37,77.27,77.79,7127971,488,1
44,77.63,78.85,77.58,78.56,6337965,488,1
45,78.44,79.28,78.43,78.47,8549081,488,1
46,78.23,78.86,78.0301,78.68,6854546,488,1
47,78.53,79.07,78.11,78.51,7248636,488,1
48,78.76,79.05,76.6101,77.16,14209056,488,1
49,77.5,78.44,77.4,78.29,7827256,488,1
50,78.29,78.44,77.5,77.97,5155003,488,1
51,78.11,79.22,78.05,79.09,6654114,488,1
52,79.23,79.5,77.92,78.03,8083545,488,1
53,78.18,78.8275,77.881,78.65,5730230,488,1
54,78.58,79.15,78.57,79.04,5923528,488,1
55,79.08,79.25,78.15,78.39,6157808,488,1
56,78.28,78.3,77.37,77.72,7961644,488,1
57,77.85,78.66,77.69,78.06,6260681,488,1
58,77.91,78.49,77.8,78.46,4515961,488,1
59,78.92,79.34,78.9,79.25,5599388,488,1
60,79.1,79.16,78.77,78.83,4807003,488,1
61,79.1,79.143,78.77,78.83,6571101,488,1
62,78.5599,78.66,77.78,78.25,8008719,488,1
63,78.31,78.96,77.9,78.4,6516841,488,1
64,78.47,78.91,78.28,78.89,5831224,488,1
65,78.8,78.94,77.915,78.5,7714538,488,1
66,77.98,78.86,77.67,78.78,10017969,488,1
67,78.8,79.96,78.65,79.86,8000420,488,1
68,78.1,78.86,77.34,78.5,12128798,488,1
69,78.3,78.589,77.4,77.87,10671373,488,1
70,77.88,77.9,77.355,77.4,5582600,488,1
71,77.62,78.18,77.25,77.39,7484386,488,1
72,77.19,77.8,76.75,77.03,9029193,488,1
73,76.83,76.94,76.25,76.33,8023168,488,1
74,76.32,77.41,76.15,77.31,7589559,488,1
75,77.52,78.04,77.06,77.32,6059170,488,1
76,77.05,77.05,76.06,76.23,5882206,488,1
77,76.49,76.54,75.61,75.63,6228644,488,1
78,75.36,75.63,74.82,74.84,9748362,488,1
79,75.06,75.8,74.6368,75.69,8441954,488,1
80,75.77,76.38,75.47,75.94,9344138,488,1
81,75.72,75.9499,75.07,75.25,6778532,488,1
82,75.27,75.735,74.835,75.63,9426122,488,1
83,76.38,76.87,76.19,76.33,8348010,488,1
84,76.28,76.65,75.66,75.75,6731621,488,1
85,75.42,75.83,74.99,75.25,6006369,488,1
86,75.47,75.71,74.65,74.84,4731024,488,1
87,74.78,75.33,74.56,75.0,7241763,488,1
88,74.84,75.27,74.8,74.87,6351451,488,1
89,75.0,75.445,74.51,74.95,6481064,488,1
90,75.0,75.88,74.8,75.73,6739607,488,1
91,75.74,75.96,74.34,74.46,8329067,488,1
92,74.5,74.66,73.01,73.03,9071090,488,1
93,73.52,74.2,73.255,73.51,14575716,488,1
