id_date,open,high,low,close,volume,id_stock,id_index
1,30.19,30.4,29.89,30.21,5647654,491,1
2,30.2,30.22,29.96,30.14,3833730,491,1
3,30.17,30.45,30.03,30.31,5385632,491,1
4,30.58,30.67,30.41,30.48,3285712,491,1
5,30.43,30.48,30.15,30.44,3148056,491,1
6,30.49,30.66,30.4,30.65,3745204,491,1
7,30.91,30.91,30.49,30.83,5544075,491,1
8,30.83,30.88,29.76,29.78,6671376,491,1
9,29.79,29.8,28.935,29.11,7941705,491,1
10,29.32,29.73,29.28,29.72,2846773,491,1
11,29.83,30.05,28.78,28.78,5382754,491,1
12,29.07,29.4099,28.83,29.35,5537466,491,1
13,29.2,29.795,29.06,29.61,3996907,491,1
14,29.61,29.77,29.41,29.41,3506374,491,1
15,29.3,29.65,28.9,29.57,4021271,491,1
16,29.57,30.03,29.52,29.95,2914986,491,1
17,30.05,30.55,29.96,30.38,3571982,491,1
18,30.54,30.67,30.22,30.26,3360668,491,1
19,30.26,30.33,30.0,30.18,2995391,491,1
20,30.28,30.45,29.89,30.24,3458952,491,1
21,30.21,30.52,30.115,30.51,3019756,491,1
22,30.41,30.5,30.175,30.2,2741428,491,1
23,30.2,30.39,29.965,30.34,2402080,491,1
24,30.37,30.82,30.34,30.82,4027958,491,1
25,30.7,30.8,30.39,30.55,5392589,491,1
26,30.22,30.39,30.01,30.2,3971149,491,1
27,30.61,30.87,30.48,30.72,4686206,491,1
28,30.89,31.435,30.79,31.4,5021611,491,1
29,31.15,31.25,30.74,30.75,3249743,491,1
30,30.86,31.08,30.6,31.01,2365763,491,1
31,31.2,31.4,30.68,30.85,2969769,491,1
32,31.06,31.25,30.94,30.99,2140534,491,1
33,30.85,31.041,30.62,31.01,1823263,491,1
34,31.04,31.42,30.91,31.38,3845867,491,1
35,31.36,31.51,30.945,31.33,3136480,491,1
36,31.41,31.71,31.36,31.6,3613657,491,1
37,31.67,31.67,30.0899,30.32,7269656,491,1
38,30.42,31.24,30.4,31.22,3707403,491,1
39,30.61,31.2,30.32,31.16,3681509,491,1
40,31.14,31.48,30.84,31.48,2559416,491,1
41,31.5,31.54,31.115,31.27,2641464,491,1
42,31.29,31.66,31.17,31.63,2913306,491,1
43,31.62,31.863,31.5,31.71,3250727,491,1
44,31.64,31.97,31.62,31.78,3238602,491,1
45,31.6,31.75,30.42,30.42,5790671,491,1
46,30.82,31.15,30.46,30.6,5919759,491,1
47,30.41,30.46,29.235,29.74,8316226,491,1
48,29.86,29.88,28.91,29.29,6628955,491,1
49,29.48,30.186,29.46,29.84,5548672,491,1
50,30.0,30.24,29.37,30.05,4351516,491,1
51,30.22,30.98,30.18,30.75,4304775,491,1
52,30.82,31.5,30.82,31.41,5158281,491,1
53,31.47,31.51,31.03,31.38,5646129,491,1
54,31.85,32.0,30.48,30.53,6372426,491,1
55,30.7,30.79,30.215,30.43,3557459,491,1
56,30.33,30.54,30.12,30.51,4004285,491,1
57,30.36,30.64,30.06,30.14,4238908,491,1
58,30.22,30.47,30.07,30.25,3219777,491,1
59,30.54,30.92,30.4,30.65,3273271,491,1
60,30.65,31.09,30.52,31.04,2583601,491,1
61,31.19,31.5,30.965,31.38,2655291,491,1
62,30.96,31.4,30.82,31.33,3018057,491,1
63,31.49,32.325,31.4,31.81,6350400,491,1
64,31.79,31.815,31.26,31.39,3169416,491,1
65,31.26,31.396,30.8,30.9,3468706,491,1
66,31.5,32.27,31.38,32.26,7077497,491,1
67,32.24,32.36,31.92,32.35,4006957,491,1
68,32.17,32.4,31.7801,31.97,4375615,491,1
69,32.15,32.5,32.1201,32.48,4310071,491,1
70,32.5,32.67,32.285,32.37,2988966,491,1
71,32.36,32.64,32.14,32.6,3566679,491,1
72,32.52,33.24,32.11,32.33,8260320,491,1
73,31.87,32.28,31.65,32.05,4535082,491,1
74,31.94,32.01,31.63,31.74,3629019,491,1
75,32.22,32.55,31.72,31.8,5319552,491,1
76,31.54,31.6299,30.305,30.53,7241688,491,1
77,30.63,30.72,29.65,29.66,8963011,491,1
78,29.81,30.327,29.54,29.82,8594838,491,1
79,29.99,30.47,29.73,30.06,6593131,491,1
80,30.0,30.16,29.2,29.23,5660591,491,1
81,29.18,29.2,28.165,28.32,9122957,491,1
82,28.3,29.02,28.18,29.02,5247520,491,1
83,29.16,29.26,28.67,29.03,4136016,491,1
84,29.5,29.52,28.78,29.1,5194843,491,1
85,28.63,28.98,28.28,28.69,4695792,491,1
86,28.91,28.96,27.73,27.79,5803980,491,1
87,27.73,28.7,27.61,28.61,6411812,491,1
88,28.58,28.92,28.225,28.29,3645607,491,1
89,29.0,29.36,28.65,28.66,10177245,491,1
90,28.5,28.77,28.03,28.24,14404918,491,1
91,28.15,28.25,27.26,27.31,38634578,491,1
92,27.26,27.52,26.85,27.03,16073376,491,1
93,27.3,27.58,26.91,27.42,12984963,491,1
94,27.0,27.64,26.38,27.01,9510649,491,1
95,27.38,27.69,27.05,27.52,8220118,491,1
96,27.74,27.95,27.595,27.73,5574582,491,1
97,27.85,28.54,27.705,28.2,9039951,491,1
98,28.13,28.69,27.79,28.49,13489332,491,1
99,28.52,28.8,28.05,28.1,4608884,491,1
100,28.06,28.73,28.01,28.54,5019046,491,1
101,28.32,28.58,28.19,28.46,2095091,491,1
102,28.58,28.62,28.02,28.31,3525999,491,1
103,28.56,28.75,28.31,28.38,3754856,491,1
104,28.5,28.99,28.4299,28.73,4153244,491,1
105,28.66,28.85,28.47,28.74,3320964,491,1
106,29.07,29.38,29.0,29.35,5069540,491,1
