id_date,open,high,low,close,volume,id_stock,id_index
1,66.14,66.83,65.97,66.6,659052,494,1
2,66.36,66.81,65.805,66.75,477857,494,1
3,66.62,67.37,66.58,67.0,525793,494,1
4,67.16,67.88,66.65,67.75,732232,494,1
5,67.42,68.14,67.24,67.25,827450,494,1
6,67.08,67.116,64.81,64.95,1198298,494,1
7,66.48,67.09,64.95,66.95,2306480,494,1
8,67.02,68.59,66.95,67.33,1752526,494,1
9,68.52,68.9,66.56,68.81,1917866,494,1
10,69.94,70.36,68.55,68.84,844597,494,1
11,69.34,69.46,66.52,66.53,934574,494,1
12,66.98,67.18,65.47,67.0,1299689,494,1
13,66.51,68.6,66.51,68.1,768198,494,1
14,68.11,68.46,66.95,67.31,826197,494,1
15,66.87,67.04,65.1,65.47,1057699,494,1
16,65.29,65.44,63.12,63.67,934770,494,1
17,64.28,65.23,64.16,64.86,837175,494,1
18,65.18,65.49,64.65,65.01,842687,494,1
19,65.1,67.57,65.0,67.49,711324,494,1
20,67.88,70.75,67.57,70.61,1168836,494,1
21,70.25,71.71,69.44,71.65,764521,494,1
22,71.47,72.53,71.15,72.12,861302,494,1
23,72.12,74.71,72.0,74.03,1277250,494,1
24,74.17,77.0,74.11,76.86,1138533,494,1
25,77.16,79.23,76.88,78.1,2036580,494,1
26,77.38,79.69,76.61,78.16,1012065,494,1
27,78.36,78.43,76.41,76.88,730890,494,1
28,76.4,76.54,74.0,75.0,1608572,494,1
29,74.37,75.14,73.44,74.29,1061268,494,1
30,75.03,75.92,74.91,75.89,1117959,494,1
31,75.88,76.67,75.35,75.97,731864,494,1
32,76.45,76.54,75.6,76.08,733454,494,1
33,75.07,76.24,75.07,75.74,525221,494,1
34,75.75,76.18,75.16,75.44,628829,494,1
35,74.03,74.67,73.08,73.56,763607,494,1
36,74.04,74.22,71.06,71.53,813145,494,1
37,71.82,72.4,68.43,68.85,1085577,494,1
38,68.65,69.75,68.05,69.72,880386,494,1
39,68.71,71.58,68.43,70.89,814315,494,1
40,71.01,71.85,70.43,71.67,604249,494,1
41,71.97,72.9875,70.88,72.8,713277,494,1
42,72.85,73.25,71.81,72.53,723872,494,1
43,72.63,73.19,71.78,73.07,544517,494,1
44,72.35,72.68,70.6,72.33,924175,494,1
45,71.72,71.72,67.53,67.87,1025438,494,1
46,69.06,70.2,67.55,70.11,699276,494,1
47,69.69,69.73,67.36,69.28,845567,494,1
48,69.28,71.73,68.17,70.67,1032227,494,1
49,71.0,71.13,68.91,69.89,769900,494,1
