id_date,open,high,low,close,volume,id_stock,id_index
1,27.75,27.87,27.65,27.84,2356071,495,1
2,27.83,28.0,27.83,27.94,1601511,495,1
3,27.98,28.03,27.85,28.0,1239648,495,1
4,27.99,28.09,27.86,27.92,2954699,495,1
5,27.84,28.07,27.8,27.89,3335853,495,1
6,27.94,28.11,27.89,28.11,2180338,495,1
7,28.13,28.44,28.13,28.3,2149284,495,1
8,28.29,28.43,28.19,28.2,1942200,495,1
9,28.19,28.35,28.0,28.05,3173178,495,1
10,28.12,28.29,28.06,28.23,1978499,495,1
11,28.28,28.57,28.04,28.04,3413279,495,1
12,28.19,28.49,28.07,28.36,4289377,495,1
13,28.41,28.56,28.31,28.55,3121085,495,1
14,28.57,28.82,28.53,28.7,3616494,495,1
15,28.62,28.75,28.42,28.71,2007768,495,1
16,28.69,29.1,28.6,29.1,2385362,495,1
17,29.21,29.375,28.86,29.23,3092951,495,1
18,29.35,29.35,29.0,29.1,2253600,495,1
19,29.1,29.19,28.91,28.96,2105249,495,1
20,28.98,29.015,28.74,28.97,7043445,495,1
21,28.95,29.01,28.88,29.0,9600361,495,1
22,28.97,29.03,28.85,28.96,11937649,495,1
23,28.98,29.11,28.88,29.04,2618462,495,1
24,29.02,29.095,28.88,29.02,2941210,495,1
25,28.94,29.15,28.87,29.14,4187613,495,1
26,29.01,29.05,28.83,28.9,2719445,495,1
27,28.62,28.77,28.41,28.55,4526489,495,1
28,28.68,28.85,28.59,28.75,4755682,495,1
29,28.66,28.795,28.6,28.6,3061343,495,1
30,28.59,28.74,28.52,28.67,2309273,495,1
31,28.72,28.92,28.535,28.64,2211901,495,1
32,28.71,28.98,28.675,28.98,2756460,495,1
33,28.85,29.31,28.8,29.28,4444711,495,1
34,29.29,29.74,29.27,29.7,4716622,495,1
35,29.72,29.78,29.47,29.58,1677602,495,1
36,29.66,29.77,29.54,29.65,1719810,495,1
37,30.07,30.07,29.7,29.83,3067779,495,1
38,29.89,30.19,29.85,30.14,2526071,495,1
39,29.94,30.21,29.86,30.18,2127067,495,1
40,30.14,30.42,30.04,30.4,1461673,495,1
41,30.5,30.5,30.26,30.28,2168847,495,1
42,30.35,30.65,30.35,30.56,1858389,495,1
43,30.63,30.65,30.54,30.62,1655666,495,1
44,30.57,30.97,30.56,30.92,2728493,495,1
45,30.81,30.87,30.25,30.25,2429503,495,1
46,30.34,30.575,30.02,30.5,2874268,495,1
47,30.42,30.42,30.0757,30.33,2132851,495,1
48,30.42,30.55,30.27,30.48,2451179,495,1
49,30.58,31.09,30.52,31.08,2370316,495,1
50,31.12,31.13,30.78,30.98,2059688,495,1
51,31.05,31.05,30.64,30.93,2824173,495,1
52,30.99,31.37,30.86,31.19,2080086,495,1
53,31.23,31.45,31.16,31.32,1500949,495,1
54,31.27,31.4157,31.14,31.22,1974910,495,1
55,31.27,31.73,31.2,31.58,2129034,495,1
56,31.57,31.79,31.48,31.79,2326772,495,1
57,31.7,31.77,31.43,31.44,1830035,495,1
58,31.38,31.56,31.125,31.35,2518797,495,1
59,31.55,31.71,31.16,31.19,3675047,495,1
60,31.15,31.21,30.63,30.68,3271855,495,1
61,30.73,31.18,30.69,31.17,2357767,495,1
62,31.08,31.23,30.79,30.85,1500664,495,1
63,30.84,30.93,30.16,30.23,2137369,495,1
64,30.2,30.27,30.02,30.25,2118051,495,1
65,30.14,30.26,29.94,30.03,3107635,495,1
66,30.0,30.14,29.94,30.03,3900694,495,1
67,30.06,30.65,30.02,30.33,2794879,495,1
68,30.26,30.37,30.1,30.14,1862467,495,1
69,30.25,30.46,30.14,30.42,2436954,495,1
70,30.42,30.5,30.22,30.25,2543561,495,1
71,30.24,30.365,30.04,30.27,2668284,495,1
72,30.18,30.66,29.77,29.95,4022175,495,1
73,29.82,29.92,29.31,29.81,3391232,495,1
74,29.74,29.79,29.45,29.57,2039475,495,1
75,29.65,29.72,29.26,29.37,2687483,495,1
76,29.19,29.23,28.33,28.65,4731730,495,1
77,28.81,29.19,28.81,28.88,3473393,495,1
78,28.78,29.25,28.72,28.72,4264290,495,1
79,28.72,29.07,28.36,28.87,4412142,495,1
80,28.89,28.98,28.63,28.86,4388394,495,1
81,28.75,28.76,28.45,28.48,3098263,495,1
82,28.47,28.91,28.455,28.91,2981234,495,1
83,29.0,29.23,28.85,29.15,7962078,495,1
84,29.26,29.29,28.96,29.14,9735668,495,1
85,28.95,29.14,28.89,28.98,10186811,495,1
86,29.11,29.1499,28.7,28.77,3410648,495,1
87,28.76,29.3,28.61,29.28,5761855,495,1
88,29.21,29.58,29.04,29.42,4518354,495,1
89,29.55,29.74,29.34,29.48,6811042,495,1
90,29.43,29.47,29.12,29.36,3892358,495,1
91,29.32,29.36,28.55,28.55,4023720,495,1
92,28.32,28.415,27.69,27.71,5558003,495,1
93,27.8,28.17,27.46,28.01,6433016,495,1
94,27.83,28.19,27.54,28.02,3921398,495,1
95,28.16,28.5,27.96,28.38,2819403,495,1
96,28.55,28.84,28.42,28.66,2912571,495,1
97,28.75,29.05,28.65,28.7,2984568,495,1
98,27.38,28.585,27.38,28.34,9455519,495,1
99,28.38,28.58,27.91,28.06,5134095,495,1
100,28.03,28.31,28.0,28.13,3405481,495,1
101,28.0,28.3099,27.93,28.26,2471277,495,1
102,28.29,28.36,27.76,28.1,2802517,495,1
103,28.22,28.71,28.09,28.56,2994214,495,1
104,28.75,28.92,28.54,28.85,2547595,495,1
105,28.76,29.07,28.67,28.94,2079149,495,1
106,29.23,29.3,29.025,29.27,1813012,495,1
107,29.25,29.35,29.07,29.31,1420148,495,1
108,29.25,29.93,29.19,29.86,2330649,495,1
109,29.84,29.955,29.64,29.79,1943187,495,1
110,29.94,30.0,29.61,29.73,1790857,495,1
111,29.81,30.08,29.78,29.99,2353269,495,1
112,30.14,30.14,29.865,30.09,2104843,495,1
113,30.13,30.21,29.99,30.06,1436822,495,1
114,30.08,30.22,29.98,30.12,1216383,495,1
115,30.12,30.13,29.56,29.68,1478581,495,1
116,29.56,29.82,29.56,29.8,1367770,495,1
117,29.72,29.84,29.6,29.75,4587428,495,1
118,29.73,29.99,29.68,29.87,3278332,495,1
119,30.01,30.31,29.87,30.18,2751573,495,1
120,30.15,30.15,29.66,29.95,2705458,495,1
121,30.08,30.36,29.94,30.34,2575692,495,1
122,30.26,30.41,30.15,30.36,1811252,495,1
123,30.3,30.3,30.05,30.07,1630407,495,1
124,30.03,30.13,29.8,29.82,1760494,495,1
125,29.73,29.88,29.62,29.75,2610818,495,1
126,29.84,30.07,29.72,30.0,2288816,495,1
127,29.94,29.99,29.4,29.45,3950423,495,1
128,29.36,29.43,29.17,29.24,2745288,495,1
129,29.23,29.27,29.01,29.02,2290959,495,1
130,28.97,28.99,28.69,28.8,1740818,495,1
131,28.57,28.69,28.28,28.3,2930386,495,1
132,28.2,28.26,27.835,27.95,3684949,495,1
133,27.91,28.13,27.64,27.7,2886752,495,1
134,27.47,28.0,27.47,27.82,4203526,495,1
135,27.67,27.8,27.28,27.44,4154460,495,1
136,27.54,27.9,27.44,27.7,2594964,495,1
137,27.69,28.0,27.51,27.92,2591470,495,1
138,27.96,27.97,27.65,27.71,2200488,495,1
139,27.47,27.84,27.41,27.71,2647002,495,1
140,27.75,27.96,27.6,27.88,2999083,495,1
141,27.84,27.93,27.63,27.8,4353222,495,1
142,27.86,27.98,27.7,27.92,3259197,495,1
143,28.06,28.16,27.435,27.49,2905993,495,1
144,27.47,27.5,27.17,27.34,4689990,495,1
145,27.32,27.36,27.14,27.27,2903754,495,1
146,27.38,27.645,27.27,27.37,8580407,495,1
147,27.39,27.56,27.31,27.46,8429804,495,1
148,27.57,27.72,27.45,27.72,9954011,495,1
149,27.92,27.92,27.44,27.64,6417678,495,1
150,27.68,27.8,27.54,27.56,4024513,495,1
151,27.64,27.7675,27.55,27.64,3220460,495,1
152,27.87,28.1,27.36,27.4,6192904,495,1
153,27.27,27.29,27.03,27.1,6013512,495,1
154,27.03,28.11,26.9,27.94,9375996,495,1
155,27.95,28.05,27.75,27.83,3384088,495,1
156,27.97,27.97,27.58,27.75,7052739,495,1
157,27.7,28.35,27.5103,28.2,4369901,495,1
158,28.19,28.24,27.95,28.14,3251329,495,1
159,28.1,28.17,27.84,27.86,2559893,495,1
160,27.85,28.05,27.75,27.88,1680853,495,1
161,27.75,27.89,27.55,27.69,2062515,495,1
162,27.59,27.73,27.47,27.61,3242873,495,1
163,27.68,27.885,27.58,27.79,2260030,495,1
164,27.71,27.76,27.45,27.76,2663571,495,1
165,27.62,27.65,27.2,27.26,3251895,495,1
166,27.32,27.43,27.23,27.3,1063499,495,1
167,27.16,27.45,27.14,27.17,1344923,495,1
168,27.23,27.76,27.17,27.58,4726349,495,1
169,27.61,28.07,27.545,27.77,3293385,495,1
170,27.93,28.2,27.54,28.15,2434279,495,1
171,28.06,28.3,28.01,28.27,1737691,495,1
