id_date,open,high,low,close,volume,id_stock,id_index
1,32.08,32.12,31.7,31.84,1702218,500,1
2,31.92,32.02,31.8,31.96,1475369,500,1
3,32.04,32.12,31.8,31.84,1888523,500,1
4,31.96,32.12,31.76,32.0,2863447,500,1
5,31.84,32.24,31.8004,32.12,1594884,500,1
6,32.08,32.12,31.8,31.88,1524160,500,1
7,32.0,32.2,31.92,32.0,1773716,500,1
8,32.08,32.36,31.4,31.44,2125467,500,1
9,31.56,31.68,31.0,31.36,2896010,500,1
10,31.56,32.52,31.52,32.48,3818395,500,1
11,32.6,32.64,31.52,31.56,2847954,500,1
12,31.64,32.32,31.36,32.08,2733778,500,1
13,32.08,32.8,32.0,32.72,2172705,500,1
14,32.8,32.92,32.44,32.44,2177189,500,1
15,32.28,32.8,32.12,32.6,1775991,500,1
16,32.48,32.72,32.04,32.72,2002453,500,1
17,32.84,33.14,32.72,32.88,2019922,500,1
18,33.08,34.04,32.92,34.04,3430954,500,1
19,34.16,34.32,33.8,34.28,2222775,500,1
20,34.72,35.0,34.32,34.84,3393348,500,1
21,34.72,34.72,34.32,34.64,1834759,500,1
22,34.52,34.6,34.12,34.36,2251234,500,1
23,34.4,34.52,34.24,34.36,1208672,500,1
24,34.4,35.08,34.12,34.76,2617611,500,1
25,34.64,35.04,34.4,34.84,3178522,500,1
26,34.48,34.92,34.44,34.64,1814755,500,1
27,34.8,34.88,34.24,34.48,2100156,500,1
28,34.52,35.04,34.48,35.04,1619009,500,1
29,34.68,34.92,34.12,34.2,1864254,500,1
30,34.4,34.44,34.0,34.4,1493505,500,1
31,34.6,34.76,34.04,34.04,1681917,500,1
32,34.16,34.44,33.92,34.32,1800773,500,1
33,34.08,34.34,34.04,34.16,1146610,500,1
34,34.2,34.48,34.0,34.4,1535282,500,1
35,34.48,34.72,34.28,34.4,1315101,500,1
36,34.56,35.4,34.32,35.4,2519000,500,1
37,35.44,35.48,34.04,34.24,3025361,500,1
38,34.32,34.92,34.2,34.64,1909525,500,1
39,34.2,34.72,33.96,34.52,1987186,500,1
40,34.48,34.64,34.16,34.56,1796843,500,1
41,34.72,35.28,34.44,35.12,1501451,500,1
42,35.16,35.92,35.16,35.84,2023013,500,1
43,36.0,37.52,35.9,37.08,5222640,500,1
44,36.92,37.0,35.96,36.24,2301659,500,1
45,36.2,36.28,35.56,35.64,2109248,500,1
46,36.0,36.72,35.8,36.28,2349855,500,1
47,36.04,36.04,35.32,35.68,2283947,500,1
48,35.72,35.8,34.28,34.52,2736233,500,1
49,34.6,34.64,33.64,33.84,3377178,500,1
50,34.28,35.0,33.64,34.4,3853470,500,1
51,34.4,34.6,32.44,33.76,5166557,500,1
52,33.8,34.04,33.16,33.48,4288461,500,1
53,33.88,34.36,33.38,34.04,3798444,500,1
54,34.0,34.02,33.48,33.52,1986602,500,1
55,33.6,33.92,33.4,33.8,1385577,500,1
56,33.84,34.32,33.64,34.32,2390398,500,1
57,34.16,34.2,33.04,33.32,3056468,500,1
58,33.36,33.76,33.2,33.64,1025117,500,1
59,33.8,34.24,33.56,34.16,1319628,500,1
60,34.24,35.04,34.0,35.04,3183631,500,1
61,35.12,35.36,34.6,35.08,1796974,500,1
62,35.0,35.48,34.9,35.2,1669907,500,1
63,35.24,36.2,35.24,36.0,3021174,500,1
64,36.08,36.36,35.88,36.0,2128175,500,1
