ID,DATE,DAY,ID_WEEK_DAY,MONTH,ID_MONTH,YEAR,ID_QUARTER
1,2013-02-08,8,5,2,2,2013,1
2,2013-02-11,11,1,2,2,2013,1
3,2013-02-12,12,2,2,2,2013,1
4,2013-02-13,13,3,2,2,2013,1
5,2013-02-14,14,4,2,2,2013,1
6,2013-02-15,15,5,2,2,2013,1
7,2013-02-19,19,2,2,2,2013,1
8,2013-02-20,20,3,2,2,2013,1
9,2013-02-21,21,4,2,2,2013,1
10,2013-02-22,22,5,2,2,2013,1
11,2013-02-25,25,1,2,2,2013,1
12,2013-02-26,26,2,2,2,2013,1
13,2013-02-27,27,3,2,2,2013,1
14,2013-02-28,28,4,2,2,2013,1
15,2013-03-01,1,5,3,3,2013,1
16,2013-03-04,4,1,3,3,2013,1
17,2013-03-05,5,2,3,3,2013,1
18,2013-03-06,6,3,3,3,2013,1
19,2013-03-07,7,4,3,3,2013,1
20,2013-03-08,8,5,3,3,2013,1
21,2013-03-11,11,1,3,3,2013,1
22,2013-03-12,12,2,3,3,2013,1
23,2013-03-13,13,3,3,3,2013,1
24,2013-03-14,14,4,3,3,2013,1
25,2013-03-15,15,5,3,3,2013,1
26,2013-03-18,18,1,3,3,2013,1
27,2013-03-19,19,2,3,3,2013,1
28,2013-03-20,20,3,3,3,2013,1
29,2013-03-21,21,4,3,3,2013,1
30,2013-03-22,22,5,3,3,2013,1
31,2013-03-25,25,1,3,3,2013,1
32,2013-03-26,26,2,3,3,2013,1
33,2013-03-27,27,3,3,3,2013,1
34,2013-03-28,28,4,3,3,2013,1
35,2013-04-01,1,1,4,4,2013,2
36,2013-04-02,2,2,4,4,2013,2
37,2013-04-03,3,3,4,4,2013,2
38,2013-04-04,4,4,4,4,2013,2
39,2013-04-05,5,5,4,4,2013,2
40,2013-04-08,8,1,4,4,2013,2
41,2013-04-09,9,2,4,4,2013,2
42,2013-04-10,10,3,4,4,2013,2
43,2013-04-11,11,4,4,4,2013,2
44,2013-04-12,12,5,4,4,2013,2
45,2013-04-15,15,1,4,4,2013,2
46,2013-04-16,16,2,4,4,2013,2
47,2013-04-17,17,3,4,4,2013,2
48,2013-04-18,18,4,4,4,2013,2
49,2013-04-19,19,5,4,4,2013,2
50,2013-04-22,22,1,4,4,2013,2
51,2013-04-23,23,2,4,4,2013,2
52,2013-04-24,24,3,4,4,2013,2
53,2013-04-25,25,4,4,4,2013,2
54,2013-04-26,26,5,4,4,2013,2
55,2013-04-29,29,1,4,4,2013,2
56,2013-04-30,30,2,4,4,2013,2
57,2013-05-01,1,3,5,5,2013,2
58,2013-05-02,2,4,5,5,2013,2
59,2013-05-03,3,5,5,5,2013,2
60,2013-05-06,6,1,5,5,2013,2
61,2013-05-07,7,2,5,5,2013,2
62,2013-05-08,8,3,5,5,2013,2
63,2013-05-09,9,4,5,5,2013,2
64,2013-05-10,10,5,5,5,2013,2
65,2013-05-13,13,1,5,5,2013,2
66,2013-05-14,14,2,5,5,2013,2
67,2013-05-15,15,3,5,5,2013,2
68,2013-05-16,16,4,5,5,2013,2
69,2013-05-17,17,5,5,5,2013,2
70,2013-05-20,20,1,5,5,2013,2
71,2013-05-21,21,2,5,5,2013,2
72,2013-05-22,22,3,5,5,2013,2
73,2013-05-23,23,4,5,5,2013,2
74,2013-05-24,24,5,5,5,2013,2
75,2013-05-28,28,2,5,5,2013,2
76,2013-05-29,29,3,5,5,2013,2
77,2013-05-30,30,4,5,5,2013,2
78,2013-05-31,31,5,5,5,2013,2
79,2013-06-03,3,1,6,6,2013,2
80,2013-06-04,4,2,6,6,2013,2
81,2013-06-05,5,3,6,6,2013,2
82,2013-06-06,6,4,6,6,2013,2
83,2013-06-07,7,5,6,6,2013,2
84,2013-06-10,10,1,6,6,2013,2
85,2013-06-11,11,2,6,6,2013,2
86,2013-06-12,12,3,6,6,2013,2
87,2013-06-13,13,4,6,6,2013,2
88,2013-06-14,14,5,6,6,2013,2
89,2013-06-17,17,1,6,6,2013,2
90,2013-06-18,18,2,6,6,2013,2
91,2013-06-19,19,3,6,6,2013,2
92,2013-06-20,20,4,6,6,2013,2
93,2013-06-21,21,5,6,6,2013,2
94,2013-06-24,24,1,6,6,2013,2
95,2013-06-25,25,2,6,6,2013,2
96,2013-06-26,26,3,6,6,2013,2
97,2013-06-27,27,4,6,6,2013,2
98,2013-06-28,28,5,6,6,2013,2
99,2013-07-01,1,1,7,7,2013,3
100,2013-07-02,2,2,7,7,2013,3
101,2013-07-03,3,3,7,7,2013,3
102,2013-07-05,5,5,7,7,2013,3
103,2013-07-08,8,1,7,7,2013,3
104,2013-07-09,9,2,7,7,2013,3
105,2013-07-10,10,3,7,7,2013,3
106,2013-07-11,11,4,7,7,2013,3
107,2013-07-12,12,5,7,7,2013,3
108,2013-07-15,15,1,7,7,2013,3
109,2013-07-16,16,2,7,7,2013,3
110,2013-07-17,17,3,7,7,2013,3
